종목	코드	현재가	시가총액	PER	E_PER	PBR	ROE	배당수익률
원일특강	012620	8580	390	3.93		0.33	8.77	1.69
동원시스템즈	014820	23800	6,353	17.33		1.39	10.49	2.02
원림	005820	16650	362	26.97		0.36	3.33	1.52
동화약품	000020	10300	2,835	28.84		0.94	3.15	1.18
이화산업	000760	13400	375			0.37	-4.35	
엠벤처투자	019590	918	550	6.87		1.46	24.26	
SK증권	001510	626	2,973	9.53		0.51	5.62	1.59
경동제약	011040	8810	2,328	11.57		0.92	9.18	4.56
사조대림	003960	15650	1,416	1.58		0.36	30.57	0.97
아세아제지	002310	31100	2,817	4.55		0.47	10.99	1.91
이건산업	008250	6270	701	55.17		0.37	0.44	3.12
삼화전기	009470	19150	1,267	62.79		3.03	7.03	0.52
AK홀딩스	006840	23050	3,054			0.39	3.38	3.25
조광페인트	004910	5470	717			0.34	-1.33	3.57
명문제약	017180	6780	1,744			2.60	-24.55	
대웅	003090	17500	10088	16.15		1.19	10.43	0.58
HDC	012630	10200	6,124	2.39		0.27	8.38	1.95
DB손해보험	005830	46300	33,347	8.83	7.00	0.50	7.28	3.18
LG이노텍	011070	137500	33,134	15.35	10.00	1.44	14.37	0.21
글로본	019660	2420	708			3.41	-38.25	
유니드	014830	41800	3,752	5.50		0.51	9.87	2.84
NI스틸	008260	1780	661	11.21		0.60	5.91	2.16
한진	002320	58900	6,802	257.01	83.00	0.76	0.91	0.88
포스코엠텍	009520	4440	1,876	17.39		2.07	12.77	1.78
동양	001520	1695	3,986			0.41	-0.05	2.39
삼성화재	000810	192500	93,565	15.53	13.00	0.59	5.28	4.30
신송홀딩스	006880	4115	487			0.54	-32.05	1.94
선광	003100	14450	964	19.26		0.29	1.65	2.40
롯데정밀화학	004000	36750	9,623	5.64	6.00	0.64	10.64	4.56
씨아이테크	004920	1195	290			0.68	-15.96	
인터엠	017250	1810	385			0.69	-10.69	5.46
KR모터스	000040	777	716			2.00	-113.29	
에스엘	005850	13800	6,652	7.18	9.00	0.47	5.87	2.90
모나리자	012690	7010	2,578	56.40		3.92	3.75	0.71
한국조선해양	009540	83800	60582	20.41	41.00	0.52	1.26	
대교	019680	4600	3,913	28.52		0.65	0.16	3.68
형지I&C	011080	506	196			0.87		
넥센타이어	002350	5880	5,870	5.86	8.00	0.39	4.72	1.75
원풍물산	008290	2680	1,099			2.37	-15.58	
DI동일	001530	66300	1,642	10.90		0.25	2.55	2.21
화천기공	000850	31100	684	9.18		0.23	2.55	4.02
우신시스템	017370	3395	635	14.38		0.50	5.18	
성문전자	014910	1610	318			1.12	-6.57	
현대제철	004020	19550	27,023		-24.00	0.16	-0.68	3.70
한신공영	004960	13100	1,562	2.13		0.30	15.21	2.59
일성신약	003120	87600	2,298	33.31		0.39	2.01	0.87
