종목명	현재가	전일비	등락률	액면가	시가총액	배당금	PER	ROE	PBR	유보율	배당율
삼성전자	51,100	400	+0.79%	100	3,050,559	1,416	16.31	8.69	1.34	28,856.0	0.02771037181996086
SK하이닉스	83,700	2,200	+2.70%	5,000	609,338	1,000	39.09	4.25	1.19	1,287.0	0.011947431302270013
삼성바이오로직스	627,000	5,000	+0.80%	2,500	414,855	N/A	142.31	4.77	9.45	2,539.1	
NAVER	237,000	11,000	+4.87%	100	389,304	376	61.19	10.56	5.19	44,216.1	0.0015864978902953586
삼성전자우	43,950	1,100	+2.57%	100	361,659	N/A	14.02	N/A	1.15	N/A	
셀트리온	227,000	13,500	+6.32%	1,000	306,312	48	90.29	11.19	10.48	2,181.0	0.00021145374449339208
LG화학	396,000	5,500	+1.41%	5,000	279,546	2,000	221.48	1.84	1.78	4,362.1	0.005050505050505051
삼성SDI	366,000	7,000	+1.95%	5,000	251,678	1,000	86.79	2.94	2.02	3,338.5	0.00273224043715847
카카오	264,500	1,000	+0.38%	500	230,535	127	-89.30	-5.81	4.04	12,027.8	0.00048015122873345937
현대차	100,500	2,500	+2.55%	5,000	214,737	4,000	10.65	4.32	0.38	4,865.5	0.03980099502487562
LG생활건강	1,363,000	7,000	-0.51%	5,000	212,876	11,000	30.75	20.32	5.37	4,822.5	0.008070432868672046
현대모비스	206,000	8,000	+4.04%	5,000	195,813	4,000	9.12	7.28	0.59	6,730.8	0.019417475728155338
삼성물산	102,500	3,400	+3.43%	100	191,559	2,000	17.46	4.77	0.81	94,439.6	0.01951219512195122
SK텔레콤	225,000	9,000	+4.17%	500	181,678	10,000	22.15	3.92	0.73	56,343.5	0.044444444444444446
엔씨소프트	817,000	27,000	+3.42%	500	179,364	5,220	37.40	14.72	6.49	25,668.2	0.00638922888616891
SK	242,500	3,500	+1.46%	200	170,624	5,000	247.70	4.31	0.75	119,888.2	0.020618556701030927
POSCO	183,000	2,000	+1.10%	5,000	159,552	10,000	10.71	4.18	0.33	9,630.2	0.0546448087431694
신한지주	30,650	500	+1.66%	5,000	147,866	1,850	4.38	9.09	0.37	1,456.5	0.06035889070146819
삼성에스디에스	191,000	500	+0.26%	500	147,792	2,400	26.08	11.76	2.32	17,320.1	0.012565445026178011
KB금융	34,900	900	+2.65%	5,000	145,117	2,210	4.40	8.92	0.35	1,825.6	0.06332378223495702
기아차	34,700	450	+1.31%	5,000	140,661	1,150	9.74	6.50	0.48	1,298.2	0.03314121037463977
한국전력	21,700	100	+0.46%	5,000	139,306	N/A	-9.08	-3.42	0.21	1,597.4	
