Rubber	Speed	Spin	Control	Tacky	Weight	SpongeHardness	Gears	ThrowAngle	Consistency	Durable	Overall	Ratings	Price
(No Brand) 401	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	58
(No Brand) Bokai Stayer	8.4	8.2	8.2	8.3	5.3	5.7	6.0	8.0	5.0	8.3	9.0	3	25
(No Brand) Der Materialspezialist Spinparasite	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Dunlop G-Force Predator	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	8
(No Brand) Razka7	7.2	5.0	9.0	5.0	4.0	5.0	4.0	6.0	5.0	5.0	7.0	1	0
(No Brand) Revolution Max 2  Rubber	8.6	9.0	8.9	0.0	4.0	7.0	4.0	4.0	10.0	5.0	9.0	1	18
(No Brand) Target Airtec Fx	9.5	9.4	8.8	8.0	4.0	7.0	4.0	4.0	10.0	7.0	9.0	1	40
(No Brand) Uniker	5.0	6.0	6.0	2.0	6.0	7.0	4.0	0.0	0.0	5.0	5.0	1	8
(No Brand) V 01	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
(No Brand) Venom Power	6.0	6.5	9.0	0.0	2.0	5.0	4.0	2.0	0.0	3.0	5.5	1	10
(No Brand) Yinhe D90000	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	1	0
(No Brand) Yupiter Maxtense	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
61 Second Eagle	8.2	8.7	8.8	3.5	2.5	2.0	6.3	5.0	6.3	5.5	8.3	4	21
61 Second Kangaroo	7.8	8.0	8.0	4.8	4.7	5.5	6.5	3.7	3.3	6.0	7.2	7	16
61 Second Lightning DS (Non-tacky)	8.1	8.1	8.8	1.3	2.7	3.7	7.0	3.0	10.0	7.0	8.3	3	15
61 Second Lightning DS LST	7.2	9.0	9.1	7.8	3.2	4.2	7.0	5.3	8.3	6.2	9.0	7	12
61 Second Lightning DSÂ PRO	8.5	8.6	9.0	3.5	1.0	1.5	4.0	3.0	10.0	7.0	8.6	2	15
61 Second Thunder LM ST	7.5	9.3	9.0	7.8	4.5	5.0	4.8	4.5	10.0	9.0	9.0	4	12
999 999T-2	8.5	8.5	8.0	5.0	8.0	10.0	10.0	4.0	10.0	7.0	8.5	1	20
999 999T-3	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
999 Super 999T	7.7	9.2	9.0	9.4	7.2	7.1	7.6	5.1	7.3	6.7	8.7	40	20
999 T-1	7.6	10.0	9.8	9.0	7.0	6.0	8.5	5.0	7.5	7.5	9.6	2	20
999 T1	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Adidas Blaze Speed	9.0	6.0	7.0	0.0	4.0	5.0	1.0	2.0	5.0	7.0	9.0	1	54
Adidas Blaze Spin	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	54
Adidas E-Razor D30	8.5	7.0	6.8	2.0	6.0	7.0	7.0	4.0	(not rated)	7.0	6.5	1	39
Adidas P3	8.7	8.4	8.4	1.8	3.1	4.2	7.9	5.0	8.1	7.0	8.6	18	70
Adidas P5	8.9	9.3	8.9	2.7	4.4	6.9	7.7	5.6	9.1	7.9	9.1	25	52
Adidas P7	8.8	9.5	9.1	2.1	4.4	6.5	9.1	6.1	9.4	8.4	9.4	77	50
Adidas R4 Response	8.3	7.5	8.2	0.7	3.7	3.7	4.0	3.0	8.3	6.0	8.5	6	60
Adidas R6 Response	8.8	8.9	8.0	2.1	3.0	2.6	7.4	4.8	6.3	6.1	8.9	8	60
Adidas SynTec	8.3	8.3	8.9	1.8	3.8	3.3	6.3	4.5	10.0	8.9	8.5	8	59
Adidas SynTec Fast	9.0	8.6	8.2	2.2	5.0	7.1	7.0	6.0	10.0	8.2	9.0	9	54
Adidas SynTec SF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	59
Adidas TenZone	9.1	9.2	8.5	1.8	5.6	6.4	7.5	6.4	7.3	6.0	8.6	12	79
Adidas TenZone SF	8.8	8.8	8.1	0.6	5.7	5.2	7.5	6.9	7.5	6.9	8.5	13	79
Adidas Tenzone Ultra	9.3	9.5	9.0	2.3	5.3	7.2	8.6	6.5	9.7	8.6	9.5	18	50
Adidas TenZone Ultra SF	9.0	9.2	9.3	2.4	4.2	4.0	8.3	4.7	9.1	8.5	9.3	15	40
Air Assassins	8.4	8.1	9.0	3.5	4.0	5.0	7.0	4.0	10.0	8.5	9.0	2	22
Air DefenderS	6.5	7.5	9.0	7.5	2.0	7.5	5.5	7.0	5.0	2.5	8.8	2	22
Air Illumina	8.3	8.5	8.5	3.2	3.8	4.4	7.0	4.3	10.0	6.2	8.5	10	16
Air Illumina X25	6.6	6.1	8.2	0.0	5.0	2.5	4.0	1.0	7.5	7.0	7.0	3	25
Air Illumina X88	9.0	8.9	8.5	1.9	4.3	5.7	7.2	3.2	9.4	6.9	9.1	22	25
Air Illumina X90	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
Air Scirocco SF	8.2	8.3	8.1	3.7	4.6	5.3	5.7	4.6	8.0	8.3	8.6	7	25
Air Scirocco SN	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
Air Scirocco SR	8.0	5.0	8.0	0.0	8.0	5.0	4.0	4.0	(not rated)	(not rated)	7.0	1	25
Andro Backside	5.5	10.0	10.0	10.0	8.0	10.0	4.0	9.0	10.0	7.0	10.0	2	30
Andro Backside 2.0 C	7.4	9.1	9.5	3.9	4.0	4.0	6.3	4.0	10.0	8.0	8.9	8	30
Andro Backside 2.0D	7.9	9.2	9.2	3.3	5.6	3.5	7.5	5.0	10.0	8.4	9.0	11	43
Andro EX-8	8.0	8.0	8.0	6.5	4.0	6.0	5.5	5.0	(not rated)	7.0	(not rated)	2	29
Andro Focus	8.4	8.2	8.3	6.0	0.0	3.5	5.5	5.0	5.0	5.0	8.1	2	35
Andro Good	8.8	9.1	9.2	3.0	4.0	3.5	8.5	6.6	9.3	8.3	9.2	8	35
Andro GTT 40	8.6	9.1	9.8	0.7	2.0	3.0	10.0	6.0	10.0	10.0	8.9	4	25
Andro GTT 45	8.4	8.4	9.1	0.9	4.6	5.3	7.5	6.0	10.0	8.7	8.7	7	25
Andro Hexer	8.7	9.1	8.5	2.4	5.3	5.9	8.5	5.3	9.4	7.5	9.0	44	47
Andro Hexer Duro	9.1	9.2	8.5	3.0	4.4	4.9	7.1	5.0	8.6	8.5	9.0	37	44
Andro Hexer Grip	9.0	9.4	9.4	0.3	4.5	5.3	8.5	6.0	9.1	8.0	9.3	16	44
Andro Hexer Grip SFX	8.8	9.8	10.0	0.0	(not rated)	0.0	7.0	6.0	10.0	10.0	9.5	1	35
Andro Hexer HD	9.3	9.2	8.6	2.8	5.5	6.7	8.1	5.1	8.9	7.8	9.3	37	56
Andro Hexer Powergrip	9.4	9.5	9.2	1.3	5.4	6.5	8.9	5.7	9.7	8.4	9.4	23	44
Andro Hexer Powergrip SFX	9.4	10.0	10.0	1.0	4.0	4.3	10.0	5.3	10.0	10.0	9.7	3	35
Andro Hexer Powersponge	8.3	8.9	8.9	0.5	4.0	1.8	7.8	5.3	8.8	6.6	8.8	24	47
Andro Hexer+	9.3	9.0	8.7	1.5	3.8	4.6	8.5	4.7	8.9	6.7	9.2	25	47
Andro Impuls	7.6	8.7	8.1	3.0	5.5	2.5	8.5	6.0	10.0	6.5	8.0	4	32
Andro Impuls Powersponge	8.5	9.3	9.3	1.9	3.0	3.9	8.1	5.7	8.6	9.6	9.3	8	47
Andro Impuls Speed	7.5	7.9	8.3	1.1	2.8	1.7	6.3	5.5	8.5	4.1	7.9	14	44
