Blade	Speed	Control	Stiffness 	Hardness 	Consistency 	Overall	Ratings	Price
(No Brand) 2 Faced Grinder	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Agilite Balsa Texalium Blade	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	52
(No Brand) ALPEN WOOD BLADE (Dingo + Swiss)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	94
(No Brand) ARTTE Nuvola	6.5	9.5	5.0	5.2	10.0	9.8	1	120
(No Brand) Balistic Glasfibre	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Borneo Beast Diamond Carbon Signanture Series	10.0	10.0	10.0	10.0	10.0	10.0	1	1000
(No Brand) Brodmann Blades	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	69
(No Brand) D.Tector	5.0	9.0	3.0	5.2	10.0	(not rated)	1	45
(No Brand) Denis Kalachevskyy	9.0	6.0	5.0	6.7	10.0	9.0	1	65
(No Brand) Dimanka Hurricane 5	10.0	8.8	7.0	8.2	10.0	9.9	1	80
(No Brand) Gauder Concept For Allround	7.0	9.0	5.0	6.7	(not rated)	9.0	1	33
(No Brand) Gold Cup	9.0	9.0	5.0	6.7	10.0	9.0	1	5
(No Brand) GuoYueHua Low Carbon Life	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	13
(No Brand) Hermoso	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Jaguar	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
(No Brand) Kosaka Carbon	7.0	8.0	5.0	5.2	0.0	7.4	2	13
(No Brand) KWS	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	54
(No Brand) L-2	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Leoviz Liberty	8.3	9.0	5.0	6.7	7.5	8.8	2	32
(No Brand) Levi OFF-	8.0	9.2	0.0	2.2	(not rated)	8.8	1	40
(No Brand) Maestro-Lithuania	9.0	9.0	7.0	8.2	(not rated)	9.5	1	25
(No Brand) Matsushita Pro Model	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) N8 TT Dragon L1	8.0	9.0	7.0	8.2	10.0	8.0	1	50
(No Brand) Nimatsu	7.8	10.0	5.0	5.2	10.0	(not rated)	1	0
(No Brand) Orina Gagak 01	9.0	8.5	5.0	5.2	10.0	8.9	1	20
(No Brand) Palatinus Custom	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	120
(No Brand) Power Kevlar Carbon	9.3	7.0	7.5	6.7	10.0	9.3	2	50
(No Brand) Radius Carbon	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	32
(No Brand) Rapscallion (Ross Leidy)	9.8	9.0	3.0	7.5	10.0	10.0	2	140
(No Brand) Razer L-2	8.3	8.4	6.0	4.5	10.0	8.4	2	15
(No Brand) Razer L9	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
(No Brand) Reach C-1 (Carbon)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	10
(No Brand) REACH E-5	8.0	7.0	3.0	3.7	10.0	(not rated)	1	45
(No Brand) Rosen	10.0	8.0	7.0	8.2	(not rated)	9.8	1	70
(No Brand) Ross Leidy Custom	10.0	10.0	5.0	6.7	10.0	10.0	1	0
(No Brand) Siam Pingpong Handmade	8.5	9.5	5.0	5.2	10.0	9.0	1	0
(No Brand) Sypachevskii	7.0	8.0	7.0	5.2	10.0	9.0	1	65
(No Brand) TImo Boll ZLC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Uberpong Blade	5.5	5.0	4.0	4.5	2.5	3.5	2	30
(No Brand) Victas Quartet Speed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	150
(No Brand) Vodak Diolen Special Custom	8.3	9.0	7.0	3.7	10.0	(not rated)	1	135
(No Brand) XXX Black Mix	8.5	8.0	5.0	6.7	10.0	8.0	2	43
Adidas Accelum High Speed Carbon	7.0	7.0	10.0	10.0	5.0	(not rated)	1	129
Adidas Avenger 5	8.5	8.5	5.0	6.7	10.0	9.0	1	75
Adidas Avenger 7	9.3	7.9	6.5	7.2	10.0	9.3	6	79
Adidas Avenger Carbon	9.0	9.0	5.0	6.7	10.0	9.3	3	99
Adidas C100 OFF	7.6	8.5	2.8	5.0	10.0	8.5	7	60
Adidas C300 OFF	7.8	7.9	4.7	6.2	7.5	8.5	6	100
Adidas C500 OFF+	9.2	8.8	6.4	6.2	7.3	8.9	14	100
Adidas Challenge Force	8.6	9.6	4.3	4.8	10.0	9.4	4	69
Adidas Challenge Light	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Adidas Challenge Speed	9.0	8.7	6.4	6.2	9.4	9.1	18	49
Adidas FiberTec Classic	8.6	9.4	4.0	5.6	10.0	9.6	6	68
Adidas FiberTec Extreme	9.6	8.4	6.4	6.7	10.0	9.4	9	159
Adidas FiberTec Power	9.5	9.2	7.2	8.0	10.0	9.3	6	199
Adidas Hypertouch	9.0	8.9	5.0	4.3	10.0	9.2	8	150
Adidas Protex D20	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	110
Adidas Protex D30	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	150
Adidas Radix Express	9.5	9.5	5.0	4.5	10.0	9.3	7	180
Adidas Radix Impress	8.5	9.0	7.0	6.7	10.0	9.3	1	199
Adidas Radix Ultimate	9.6	9.4	5.0	6.7	10.0	9.9	4	137
Adidas Strike Carbon	9.5	8.7	5.7	7.0	8.3	9.1	7	120
Adidas Strike Wood 5	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	48
Adidas Strike Wood 7	8.5	9.0	5.0	5.2	10.0	9.5	1	48
Adidas Synchro Plus	4.0	4.0	3.0	2.2	0.0	4.0	1	39
Adidas Synchro Unity	7.0	10.0	5.0	5.2	10.0	9.3	1	35
Adidas V1.1 ALL	8.0	8.7	6.2	6.4	10.0	8.8	5	130
Adidas V1.3 OFF-	8.4	8.7	6.0	5.8	10.0	9.5	7	110
Adidas V1.5 OFF-	8.5	8.4	5.9	6.7	8.3	8.4	7	110
Air Touch01 All Wood	7.0	9.0	5.0	6.7	5.0	8.0	1	16
Alpha Rosen	9.0	9.0	7.0	8.2	10.0	9.0	1	80
Alser Allround 5	7.3	8.7	5.0	5.2	10.0	8.4	4	55
American Hinoki Bamboo	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
American Hinoki WRC-9mm	9.3	9.3	5.0	3.5	7.5	9.3	3	75
Andro Andro TP Ligna Ci Off	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	130
Andro Blax ALL+	8.5	7.0	5.0	5.7	8.3	7.7	4	45
Andro Blax OFF	9.4	6.5	6.5	5.2	10.0	7.6	4	43
Andro Carbon Compact OFF-	8.2	9.0	6.0	6.0	10.0	9.0	2	0
Andro Core 7 OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Andro Core 7 OFF+	9.8	9.7	6.5	7.1	10.0	9.9	4	45
Andro CS5 ALL+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Andro CS5 OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Andro CS7 Pro	7.0	9.0	10.0	6.7	(not rated)	(not rated)	2	59
Andro CS7 Tour	8.9	9.5	7.0	6.7	8.3	9.5	3	59
Andro CS7 Velocity	9.2	7.6	6.5	7.5	5.0	7.7	6	55
Andro CSV ALL+	8.3	9.3	5.0	5.7	7.5	9.2	3	39
Andro CSV Carbon OFF++	9.0	8.9	6.2	6.7	9.0	9.5	6	77
Andro CSV OFF	9.0	9.4	6.0	6.7	10.0	9.4	4	49
Andro CSV OFF+	9.4	9.3	6.2	7.5	10.0	9.6	10	60
Andro CSV OFF-	8.3	9.6	5.5	5.2	8.3	9.5	4	49
Andro Defcon DEF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	66
Andro Fibercomp DEF	7.4	9.1	5.1	5.7	9.2	9.0	17	46
Andro Flaxonite Cruiser ALL	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	61
Andro Flaxonite Driver OFF	8.9	9.5	5.7	6.7	10.0	9.5	3	61
Andro HiLoom	9.2	8.6	5.0	6.0	7.5	9.0	2	134
Andro J. M. Saive Kinetic OFF	7.5	7.5	6.0	6.7	10.0	8.3	2	45
Andro J. M. Saive Kinetic OFF-	8.0	8.5	5.0	3.7	10.0	9.2	3	45
Andro Kanter ALL+	7.2	8.8	4.0	3.7	10.0	8.5	2	56
Andro Kanter Explorer OFF	9.9	10.0	6.3	7.7	10.0	9.9	3	55
Andro Kanter OFF+	9.4	9.3	6.0	6.3	10.0	9.5	7	45
Andro Kinetic ALL	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	47
Andro Kinetic ALL+	8.3	9.4	6.0	6.0	10.0	9.4	2	43
Andro Kinetic CF Carbo-Aramid OFF	9.0	8.6	6.8	7.9	8.3	9.0	4	100
Andro Kinetic CF Carbon OFF+	9.3	7.8	5.0	8.2	5.0	8.5	4	90
Andro Kinetic CF Carbon OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	85
Andro Kinetic CF Kevlar-Carbon OFF	8.8	8.0	7.4	8.0	8.6	9.4	7	70
